model,attack,experiment,cos_threshold,top10_threshold,aasr,n_samples
AST,X-Shift,AST | X-Shift,0.2,0.3,0.37,100
AST,X-Shift,AST | X-Shift,0.2,0.4,0.43,100
AST,X-Shift,AST | X-Shift,0.2,0.5,0.5,100
AST,X-Shift,AST | X-Shift,0.2,0.6,0.51,100
AST,X-Shift,AST | X-Shift,0.2,0.7,0.51,100
AST,X-Shift,AST | X-Shift,0.2,0.8,0.51,100
AST,X-Shift,AST | X-Shift,0.2,0.9,0.51,100
AST,X-Shift,AST | X-Shift,0.2,1.0,0.51,100
AST,X-Shift,AST | X-Shift,0.3,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.3,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.3,0.2,0.34,100
AST,X-Shift,AST | X-Shift,0.3,0.3,0.45,100
AST,X-Shift,AST | X-Shift,0.3,0.4,0.53,100
AST,X-Shift,AST | X-Shift,0.3,0.5,0.67,100
AST,X-Shift,AST | X-Shift,0.3,0.6,0.72,100
AST,X-Shift,AST | X-Shift,0.3,0.7,0.73,100
AST,X-Shift,AST | X-Shift,0.3,0.8,0.73,100
AST,X-Shift,AST | X-Shift,0.3,0.9,0.73,100
AST,X-Shift,AST | X-Shift,0.3,1.0,0.73,100
AST,X-Shift,AST | X-Shift,0.4,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.4,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.4,0.2,0.35,100
AST,X-Shift,AST | X-Shift,0.4,0.3,0.46,100
AST,X-Shift,AST | X-Shift,0.4,0.4,0.54,100
AST,X-Shift,AST | X-Shift,0.4,0.5,0.69,100
AST,X-Shift,AST | X-Shift,0.4,0.6,0.77,100
AST,X-Shift,AST | X-Shift,0.4,0.7,0.79,100
AST,X-Shift,AST | X-Shift,0.4,0.8,0.79,100
AST,X-Shift,AST | X-Shift,0.4,0.9,0.79,100
AST,X-Shift,AST | X-Shift,0.4,1.0,0.79,100
AST,X-Shift,AST | X-Shift,0.5,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.5,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.5,0.2,0.35,100
AST,X-Shift,AST | X-Shift,0.5,0.3,0.46,100
AST,X-Shift,AST | X-Shift,0.5,0.4,0.54,100
AST,X-Shift,AST | X-Shift,0.5,0.5,0.69,100
AST,X-Shift,AST | X-Shift,0.5,0.6,0.79,100
AST,X-Shift,AST | X-Shift,0.5,0.7,0.84,100
AST,X-Shift,AST | X-Shift,0.5,0.8,0.84,100
AST,X-Shift,AST | X-Shift,0.5,0.9,0.84,100
AST,X-Shift,AST | X-Shift,0.5,1.0,0.84,100
AST,X-Shift,AST | X-Shift,0.6,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.6,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.6,0.2,0.35,100
AST,X-Shift,AST | X-Shift,0.6,0.3,0.46,100
AST,X-Shift,AST | X-Shift,0.6,0.4,0.54,100
AST,X-Shift,AST | X-Shift,0.6,0.5,0.69,100
AST,X-Shift,AST | X-Shift,0.6,0.6,0.8,100
AST,X-Shift,AST | X-Shift,0.6,0.7,0.89,100
AST,X-Shift,AST | X-Shift,0.6,0.8,0.89,100
AST,X-Shift,AST | X-Shift,0.6,0.9,0.89,100
AST,X-Shift,AST | X-Shift,0.6,1.0,0.89,100
AST,X-Shift,AST | X-Shift,0.7,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.7,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.7,0.2,0.35,100
AST,X-Shift,AST | X-Shift,0.7,0.3,0.46,100
AST,X-Shift,AST | X-Shift,0.7,0.4,0.54,100
AST,X-Shift,AST | X-Shift,0.7,0.5,0.69,100
AST,X-Shift,AST | X-Shift,0.7,0.6,0.8,100
AST,X-Shift,AST | X-Shift,0.7,0.7,0.89,100
AST,X-Shift,AST | X-Shift,0.7,0.8,0.9,100
AST,X-Shift,AST | X-Shift,0.7,0.9,0.9,100
AST,X-Shift,AST | X-Shift,0.7,1.0,0.9,100
AST,X-Shift,AST | X-Shift,0.8,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.8,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.8,0.2,0.35,100
AST,X-Shift,AST | X-Shift,0.8,0.3,0.46,100
