model,attack,experiment,cos_threshold,top10_threshold,aasr,n_samples
AST,X-Shift,AST | X-Shift,0.8,0.4,0.54,100
AST,X-Shift,AST | X-Shift,0.8,0.5,0.69,100
AST,X-Shift,AST | X-Shift,0.8,0.6,0.8,100
AST,X-Shift,AST | X-Shift,0.8,0.7,0.89,100
AST,X-Shift,AST | X-Shift,0.8,0.8,0.9,100
AST,X-Shift,AST | X-Shift,0.8,0.9,0.9,100
AST,X-Shift,AST | X-Shift,0.8,1.0,0.9,100
AST,X-Shift,AST | X-Shift,0.9,0.0,0.0,100
AST,X-Shift,AST | X-Shift,0.9,0.1,0.0,100
AST,X-Shift,AST | X-Shift,0.9,0.2,0.35,100
AST,X-Shift,AST | X-Shift,0.9,0.3,0.46,100
AST,X-Shift,AST | X-Shift,0.9,0.4,0.54,100
AST,X-Shift,AST | X-Shift,0.9,0.5,0.69,100
AST,X-Shift,AST | X-Shift,0.9,0.6,0.8,100
AST,X-Shift,AST | X-Shift,0.9,0.7,0.89,100
AST,X-Shift,AST | X-Shift,0.9,0.8,0.9,100
AST,X-Shift,AST | X-Shift,0.9,0.9,0.9,100
AST,X-Shift,AST | X-Shift,0.9,1.0,0.9,100
AST,X-Shift,AST | X-Shift,1.0,0.0,0.0,100
AST,X-Shift,AST | X-Shift,1.0,0.1,0.0,100
AST,X-Shift,AST | X-Shift,1.0,0.2,0.35,100
AST,X-Shift,AST | X-Shift,1.0,0.3,0.46,100
AST,X-Shift,AST | X-Shift,1.0,0.4,0.54,100
AST,X-Shift,AST | X-Shift,1.0,0.5,0.69,100
AST,X-Shift,AST | X-Shift,1.0,0.6,0.8,100
AST,X-Shift,AST | X-Shift,1.0,0.7,0.89,100
AST,X-Shift,AST | X-Shift,1.0,0.8,0.9,100
AST,X-Shift,AST | X-Shift,1.0,0.9,0.9,100
AST,X-Shift,AST | X-Shift,1.0,1.0,0.9,100
SPECTR,PGD,SPECTR | PGD,0.0,0.0,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,0.1,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,0.2,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,0.3,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,0.4,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,0.5,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,0.6,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,0.7,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,0.8,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,0.9,0.0,100
SPECTR,PGD,SPECTR | PGD,0.0,1.0,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.0,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.1,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.2,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.3,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.4,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.5,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.6,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.7,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.8,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,0.9,0.0,100
SPECTR,PGD,SPECTR | PGD,0.1,1.0,0.0,100
SPECTR,PGD,SPECTR | PGD,0.2,0.0,0.0,100
SPECTR,PGD,SPECTR | PGD,0.2,0.1,0.31,100
SPECTR,PGD,SPECTR | PGD,0.2,0.2,0.37,100
SPECTR,PGD,SPECTR | PGD,0.2,0.3,0.37,100
SPECTR,PGD,SPECTR | PGD,0.2,0.4,0.37,100
SPECTR,PGD,SPECTR | PGD,0.2,0.5,0.37,100
SPECTR,PGD,SPECTR | PGD,0.2,0.6,0.37,100
SPECTR,PGD,SPECTR | PGD,0.2,0.7,0.37,100
SPECTR,PGD,SPECTR | PGD,0.2,0.8,0.37,100
SPECTR,PGD,SPECTR | PGD,0.2,0.9,0.37,100
SPECTR,PGD,SPECTR | PGD,0.2,1.0,0.37,100
SPECTR,PGD,SPECTR | PGD,0.3,0.0,0.0,100
SPECTR,PGD,SPECTR | PGD,0.3,0.1,0.58,100
SPECTR,PGD,SPECTR | PGD,0.3,0.2,0.72,100
SPECTR,PGD,SPECTR | PGD,0.3,0.3,0.72,100
SPECTR,PGD,SPECTR | PGD,0.3,0.4,0.72,100
SPECTR,PGD,SPECTR | PGD,0.3,0.5,0.72,100
SPECTR,PGD,SPECTR | PGD,0.3,0.6,0.72,100
SPECTR,PGD,SPECTR | PGD,0.3,0.7,0.72,100
SPECTR,PGD,SPECTR | PGD,0.3,0.8,0.72,100
SPECTR,PGD,SPECTR | PGD,0.3,0.9,0.72,100
SPECTR,PGD,SPECTR | PGD,0.3,1.0,0.72,100
SPECTR,PGD,SPECTR | PGD,0.4,0.0,0.0,100
SPECTR,PGD,SPECTR | PGD,0.4,0.1,0.63,100
SPECTR,PGD,SPECTR | PGD,0.4,0.2,0.83,100
SPECTR,PGD,SPECTR | PGD,0.4,0.3,0.83,100
SPECTR,PGD,SPECTR | PGD,0.4,0.4,0.83,100
SPECTR,PGD,SPECTR | PGD,0.4,0.5,0.83,100
SPECTR,PGD,SPECTR | PGD,0.4,0.6,0.83,100
SPECTR,PGD,SPECTR | PGD,0.4,0.7,0.83,100
SPECTR,PGD,SPECTR | PGD,0.4,0.8,0.83,100
SPECTR,PGD,SPECTR | PGD,0.4,0.9,0.83,100
SPECTR,PGD,SPECTR | PGD,0.4,1.0,0.83,100
SPECTR,PGD,SPECTR | PGD,0.5,0.0,0.0,100
SPECTR,PGD,SPECTR | PGD,0.5,0.1,0.63,100
